TPSA,WLOGP
40.97,0.41
43.53,0.42
46.08,0.44
48.59,0.47
51.06,0.51
53.48,0.57
55.83,0.63
58.12,0.71
60.33,0.79
62.45,0.88
64.47,0.99
66.39,1.10
68.20,1.22
69.89,1.34
71.45,1.48
72.89,1.62
74.18,1.77
75.33,1.92
76.34,2.08
77.19,2.24
77.89,2.41
78.43,2.57
78.82,2.75
79.04,2.92
79.10,3.09
79.00,3.27
78.73,3.44
78.31,3.62
77.73,3.79
76.99,3.96
76.10,4.12
75.06,4.29
73.87,4.44
72.54,4.60
71.07,4.74
69.48,4.89
67.76,5.02
65.92,5.15
63.97,5.27
61.92,5.38
59.78,5.48
57.55,5.58
55.24,5.66
52.87,5.73
50.44,5.80
47.96,5.85
45.44,5.90
42.89,5.93
40.32,5.95
37.74,5.96
35.17,5.96
32.60,5.95
30.06,5.93
27.55,5.90
25.08,5.86
22.66,5.80
20.30,5.74
18.02,5.66
15.81,5.58
13.69,5.49
11.66,5.38
9.74,5.27
7.94,5.15
6.25,5.03
4.68,4.89
3.25,4.75
1.96,4.60
0.80,4.45
-0.20,4.29
-1.05,4.13
-1.75,3.96
-2.30,3.79
-2.68,3.62
-2.90,3.45
-2.96,3.28
-2.86,3.10
-2.60,2.93
-2.17,2.75
-1.59,2.58
-0.85,2.41
0.04,2.25
1.08,2.08
2.27,1.93
3.60,1.77
5.07,1.63
6.66,1.48
8.38,1.35
10.22,1.22
12.17,1.10
14.22,0.99
16.36,0.89
18.59,0.79
20.89,0.71
23.27,0.64
25.70,0.57
28.18,0.52
30.70,0.47
33.25,0.44
35.82,0.42
38.39,0.41
40.97,0.41
